,Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
123,CNS,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",1284812
124,CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,"Merrimack, New Hampshire",1050377
125,COHU,"Cohu, Inc.",Information Technology,Semiconductor Equipment,"Poway, California",21535
126,COLL,"Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,"Stoughton, Massachusetts",1267565
127,CON,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,"Mechanicsburg, Pennsylvania",2014596
128,COOP,"Mr. Cooper Group, Inc.",Financials,Commercial & Residential Mortgage Finance,"Coppell, Texas",933136
129,CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,"Menlo Park, California",1088856
130,CPF,Central Pacific Financial Corp.,Financials,Regional Banks,"Honolulu, Hawaii",701347
131,CPK,Chesapeake Utilities Corp.,Utilities,Gas Utilities,"Dover, Delaware",19745
132,CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,Biotechnology,"Coral Gables, Florida",1369568
133,CRC,California Resources Corporation,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",1609253
134,CRGY,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1866175
135,CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",1060822
136,CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,"Frisco, Texas",23194
137,CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals","Milpitas, California",1743759
138,CRVL,CorVel Corporation,Health Care,Health Care Services,"Irvine, California",874866
139,CSGS,"CSG Systems International, Inc.",Industrials,Data Processing & Outsourced Services,"Greenwood Village, Colorado",1005757
140,CSR,Centerspace Trust,Real Estate,Multi-Family Residential REITs,"Minot, North Dakota",798359
141,CSWI,"CSW Industrials, Inc.",Industrials,Industrial Conglomerates,"Dallas, Texas",1624794
142,CTKB,"Cytek Biosciences, Inc.",Health Care,Health Care Equipment,"Fremont, California",1831915
143,CTRE,"CareTrust REIT, Inc.",Real Estate,Health Care REITs,"San Clemente, California",1590717
144,CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,"Lisle, Illinois",26058
145,CUBI,"Customers Bancorp, Inc.",Financials,Regional Banks,"Reading, Pennsylvania",1488813
146,CURB,Curbline Properties Corp.,Real Estate,Retail REITs,"New York City, New York",2027317
147,CVBF,CVB Financial Corp.,Financials,Regional Banks,"Ontario, California",354647
148,CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,"Phoenix, Arizona",278166
149,CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,"Sugar Land, Texas",1376139
150,CWEN,"Clearway Energy, Inc. (Class C)",Utilities,Renewable Electricity,"Princeton, New Jersey",1567683
152,CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,"Chicago, Illinois",1628369
153,CWT,California Water Service Group,Utilities,Water Utilities,"San Jose, California",1035201
154,CXM,"Sprinklr, Inc.",Information Technology,Application Software,"New York City, New York",1569345
155,CXW,CoreCivic,Industrials,Diversified Support Services,"Brentwood, Tennessee",1070985
156,DAN,Dana Incorporated,Consumer Discretionary,Auto Parts & Equipment,"Maumee, Ohio",26780
157,DCOM,"Dime Community Bancshares, Inc.",Financials,Regional Banks,"Hauppauge, New York",846617
158,DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs,"Washington, D.C.",1622194
159,DEI,Douglas Emmett,Real Estate,Office REITs,"Santa Monica, California",1364250
160,DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,"Jacksonville, Florida",1825088
161,DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois",1669811
162,DGII,Digi International Inc.,Information Technology,Communications Equipment,"Hopkins, Minnesota",854775
163,DIOD,Diodes Incorporated,Information Technology,Semiconductors,"Plano, Texas",29002
164,DLX,Deluxe Corporation,Industrials,Commercial Printing,"Minneapolis, Minnesota",27996
165,DNOW,NOW Inc,Industrials,Trading Companies & Distributors,"Houston, Texas",1599617
166,DOCN,"DigitalOcean Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"New York City, New York",1582961
167,DORM,"Dorman Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Colmar, Pennsylvania",868780
168,DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1298946
170,DV,"DoubleVerify Holdings, Inc.",Information Technology,Application Software,"New York City, New York",1819928
171,DVAX,Dynavax Technologies Corp.,Health Care,Biotechnology,"Emeryville, California",1029142
172,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Ashburn, Virginia",1688568
173,DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,"Houston, Texas",1020710
174,DY,"Dycom Industries, Inc.",Industrials,Construction & Engineering,"Palm Beach Gardens, Florida",67215
175,EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,"Dallas, Texas",703351
176,ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,"Bismarck, North Dakota",2015845
177,ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance,"San Diego, California",1084961
178,EFC,"Ellington Financial, Inc.",Financials,Specialized Finance,"Greenwich, Connecticut",1411342
179,EGBN,Eagle Bancorp Inc,Financials,Regional Banks,"Bethesda, Maryland",1050441
180,EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,"Henderson, Nevada",1379041
181,ELME,Elme Communities,Real Estate,Diversified REITs,"Bethesda, Maryland",104894
182,EMBC,Embecta Corp.,Health Care,Health Care Equipment,"Wilmington, Delaware",1872789
183,ENOV,Enovis,Health Care,Health Care Equipment,"Wilmington, Delaware",1420800
184,ENR,Energizer,Consumer Staples,Household Products,"St. Louis, Missouri",1632790
185,ENVA,"Enova International, Inc.",Financials,Consumer Finance,"Chicago, Illinois",1529864
186,EPAC,Enerpac Tool Group,Industrials,Industrial Machinery,"Menomonee Falls, Wisconsin",6955
187,EPC,Edgewell Personal Care,Consumer Staples,Household Products,"Shelton, Connecticut",1096752
188,EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,"Princeton, New Jersey",1728951
189,ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery,"St. Louis, Missouri",866706
190,ESI,Element Solutions,Materials,Specialty Chemicals,"Fort Lauderdale, Florida",1590714
191,ETD,"Ethan Allen Interiors, Inc.",Consumer Discretionary,Home Furnishings,"Danbury, Connecticut",896156
192,ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York",1370637
193,EVTC,"EVERTEC, Inc.",Financials,Transaction & Payment Processing Services,"San Juan, Puerto Rico",1559865
194,EXPI,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,"Bellingham, Washington",1495932
195,EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,"Morrisville, North Carolina",1078271
196,EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores,"Duluth, Georgia",1710155
197,EZPW,"EZCORP, Inc.",Financials,Consumer Finance,"Austin, Texas",876523
198,FBK,FB Financial Corp.,Financials,Regional Banks,"Nashville, Tennessee",1649749
199,FBNC,First Bancorp (Southern Pines NC),Financials,Regional Banks,"Southern Pines, North Carolina",811589
200,FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,"San Juan, Puerto Rico",1057706
201,FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",1562528
202,FCF,"First Commonwealth Financial, Corp.",Financials,Regional Banks,"Indiana, Pennsylvania",712537
203,FCPT,"Four Corners Property Trust, Inc.",Real Estate,Specialized REITs,"Mill Valley, California",1650132
204,FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida",1047340
205,FELE,Franklin Electric,Industrials,Industrial Machinery,"Fort Wayne, Indiana",38725
206,FFBC,First Financial Bancorp.,Financials,Regional Banks,"Cincinnati, Ohio",708955
207,FHB,"First Hawaiian, Inc.",Financials,Regional Banks,"Honolulu, Hawaii",36377
208,FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks,"Fort Lauderdale, Florida",69891
209,FL,Foot Locker,Consumer Discretionary,Apparel Retail,"New York City, New York",850209
210,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",37785
211,FORM,"FormFactor, Inc.",Information Technology,Semiconductor Equipment,"Livermore, California",1039399
212,FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,"Duluth, Georgia",1424929
213,FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,"Bedminster, New Jersey",1611647
214,FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Trucks,"Oak Brook, Illinois",277509
215,FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,"Memphis, Tennessee",1727263
216,FTRE,Fortrea,Health Care,Biotechnology,"Durham, North Carolina",1965040
217,FUL,H.B. Fuller Company,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota",39368
218,FULT,Fulton Financial Corporation,Financials,Regional Banks,"Lancaster, Pennsylvania",700564
219,FUN,Six Flags,Consumer Discretionary,Leisure Facilities,"Charlotte, North Carolina",1999001
220,FWRD,Forward Air Corp.,Industrials,Air Freight & Logistics,"Greeneville, Tennessee",912728
221,GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Trucks,"Lake Oswego, Oregon",923120
222,GDEN,Golden Entertainment,Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada",1071255
223,GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services,"San Ramon, California",1743725
224,GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services,"Boca Raton, Florida",923796
225,GES,"Guess, Inc.",Consumer Discretionary,Apparel Retail,"Los Angeles, California",912463
226,GFF,Griffon Corporation,Industrials,Building Products,"New York City, New York",50725
227,GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",821002
228,GKOS,Glaukos Corp.,Health Care,Health Care Equipment,"San Clemente, California",1192448
229,GMS,"GMS, Inc.",Industrials,Building Products,"Tucker, Georgia",1600438
230,GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs,"New York City, New York",1526113
231,GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,"Henrico County, Virginia",1276520
232,GO,Grocery Outlet,Consumer Staples,Food Retail,"Emeryville, California",1771515
233,GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado",1537054
234,GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,"Fairhaven, Massachusetts",1672013
235,GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Houston, Texas",1031203
236,GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,"Plano, Texas",1373670
237,GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers,"Westlake, Texas",1726978
238,GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components,"Denver, Colorado",1718512
239,GTY,Getty Realty Corp.,Real Estate,Retail REITs,"New York City, New York",1052752
240,GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering,"Watsonville, California",861459
241,HAFC,Hanmi Financial Corporation,Financials,Regional Banks,"Los Angeles, California",1109242
242,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance,"Annapolis, Maryland",1561894
243,HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment,"Charlotte, North Carolina",1834622
244,HBI,"Hanesbrands, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
245,HCC,"Warrior Met Coal, Inc.",Materials,Steel,"Brookwood, Alabama",1691303
246,HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance,"Tampa, Florida",1400810
247,HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services,"Bensalem Township, Pennsylvania",731012
248,HELE,Helen of Troy Limited,Consumer Discretionary,Household Appliances,"Hamilton, Bermuda",916789
249,HFWA,Heritage Financial Corporation,Health Care,Regional Banks,"Olympia, Washington",1046025
250,HI,"Hillenbrand, Inc.",Industrials,Industrial Machinery,"Batesville, Indiana",1417398
251,HIW,Highwoods Properties],Real Estate,Office REITs,"Raleigh, North Carolina",921082
252,HLIT,Harmonic Inc.,Information Technology,Communications Equipment,"San Jose, California",851310
253,HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",866829
254,HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,"Springfield, Illinois",850141
255,HNI,HNI Corporation,Industrials,Office Services & Supplies,"Muscatine, Iowa",48287
256,HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,"Koreatown, Los Angeles",1128361
257,HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",46765
258,HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,"Plymouth Meeting, Pennsylvania",1802665
259,HSII,"Heidrick & Struggles International, Inc.",Industrials,Human Resource & Employment Services,"Chicago, Illinois",1066605
260,HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,"Nashville, Tennessee",1095565
261,HTH,Hilltop Holdings Inc.,Financials,Regional Banks,"Dallas, Texas",1265131
262,HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,"North Liberty, Iowa",799233
263,HTZ,Hertz,Industrials,Passenger Ground Transportation,"Estero, Florida",1657853
264,HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,"Oak Brook, Illinois",940942
265,HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,"Roseville, Minnesota",46250
266,HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,"Clearwater, Florida",1057060
267,IAC,IAC Inc.,Communication Services,Publishing,"New York City, New York",1800227
268,IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,"Princeton, New Jersey",917520
269,IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",1580905
270,ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Equipment,"Fremont, California",1652535
271,ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California",883984
272,IDCC,"InterDigital, Inc.",Information Technology,Communications Equipment,"Wilmington, Delaware",1405495
273,IIIN,"Insteel Industries, Inc.",Industrials,Building Products,"Mount Airy, North Carolina",764401
274,IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,"Park City, Utah",1677576
275,INDB,Independent Bank Corp.,Financials,Regional Banks,"Rockland, Massachusetts",776901
276,INN,"Summit Hotel Properties, Inc.",Real Estate,Hotel & Resort REITs,"Austin, Texas",1497645
277,INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,"Golden Valley, Minnesota",1609550
278,INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,"New York City, New York",1679049
279,INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,"Burlingame, California",1080014
280,IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,"Englewood, Colorado",1054905
281,IPAR,"Inter Parfums, Inc.",Consumer Staples,Personal Products,"New York City, New York",822663
282,ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,"Plano, Texas",1114483
283,ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington",780571
284,JACK,Jack in the Box,Consumer Discretionary,Restaurants,"San Diego, California",807882
285,JBGS,JBG Smith,Real Estate,Office REITs,"Bethesda, Maryland",1689796
286,JBLU,JetBlue,Industrials,Passenger Airlines,"Long Island City, New York",1158463
287,JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,"Elgin, Illinois",880117
289,JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey",785956
290,JOE,St. Joe Company,Real Estate,Real Estate Development,"Panama City Beach, Florida",745308
291,JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,"Lansing, Michigan",1822993
292,KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,"Westford, Massachusetts",886346
293,KALU,Kaiser Aluminum Corporation,Materials,Aluminum,"Franklin, Tennessee",811596
294,KAR,"OPENLANE, Inc.",Industrials,Diversified Support Services,"Carmel, Indiana",1395942
295,KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,"Los Angeles, California",56679
296,KLG,WK Kellogg Co,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1959348
297,KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Equipment,"Serangoon, North-East Region, Singapore",56978
298,KMT,Kennametal,Industrials,Industrial Machinery,"Pittsburgh, Pennsylvania",55242
299,KN,Knowles Corporation,Information Technology,Electronic Components,"Itasca, Illinois",1587523
300,KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania",1315257
301,KREF,"KKR Real Estate Finance Trust, Inc.",Financials,Mortgage REITs,"New York City, New York",1631596
302,KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,"Pittsburgh, Pennsylvania",1711279
303,KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,"Menomonee Falls, Wisconsin",885639
304,KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1760965
305,KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,"San Diego, California",1069258
306,KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,"Beverly Hills, California",1408100
307,KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania",81362
308,LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,"Denver, Colorado",1694028
309,LCII,LCI Industries,Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana",763744
310,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",58492
311,LGIH,LGI Homes,Consumer Discretionary,Homebuilding,"The Woodlands, Texas",1580670
312,LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,"San Diego, California",886163
313,LKFN,Lakeland Financial,Financials,Regional Banks,"Warsaw, Indiana",721994
314,LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,"Burlington, Massachusetts",1158895
315,LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
316,LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska",836157
317,LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,"Stamford, Connecticut",1596993
318,LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,"Bethesda, Maryland",1235468
319,LRN,"Stride, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",1157408
320,LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,"Westlake Village, California",887905
321,LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",18926
322,LXP,Lexington Realty Trust,Real Estate,Diversified REITs,"New York City, New York",910108
323,LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,"Monroe, Michigan",57131
324,MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",912242
325,MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"Fort Lauderdale, Florida",1507605
326,MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,"Pittsburgh, Pennsylvania",63296
327,MATX,"Matson, Inc.",Industrials,Marine,"Honolulu, Hawaii",3453
328,MBC,"MasterBrand, Inc.",Industrials,Building Products,"Jasper, Indiana",1941365
329,MC,Moelis & Company,Financials,Investment Banking & Brokerage,"New York City, New York",1596967
330,MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",907242
331,MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,"Tucson, Arizona",1853513
332,MCY,Mercury General,Financials,Property & Casualty Insurance,"Los Angeles, California",64996
333,MD,Pediatrix Medical Group,Health Care,Health Care Services,"Sunrise, Florida",893949
334,MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,"Bismarck, North Dakota",67716
335,MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,"Madison, Wisconsin",1161728
336,MGPI,"MGP Ingredients, Inc.",Consumer Staples,Distillers & Vintners,"Atchison, Kansas",835011
337,MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",1698990
